[INFO] program started, time: 2021-04-21 20:49:04
[DEBUG] placed coal ore in x:20 y:20, time:2021-04-21 20:49:05
[DEBUG] placed coal ore in x:11 y:12, time:2021-04-21 20:49:05
[DEBUG] placed iron ore in x:7 y:19, time:2021-04-21 20:49:05
[DEBUG] placed copper ore in x:12 y:3, time:2021-04-21 20:49:05
[DEBUG] placed tin ore in x:17 y:6, time:2021-04-21 20:49:05
[DEBUG] placed zinc ore in x:16 y:15, time:2021-04-21 20:49:05
[DEBUG] placed coal ore in x:11 y:15, time:2021-04-21 20:49:05
[DEBUG] placed coal ore in x:3 y:10, time:2021-04-21 20:49:05
[DEBUG] placed iron ore in x:12 y:5, time:2021-04-21 20:49:05
[DEBUG] placed copper ore in x:6 y:0, time:2021-04-21 20:49:05
[DEBUG] placed tin ore in x:0 y:5, time:2021-04-21 20:49:05
[DEBUG] placed zinc ore in x:3 y:8, time:2021-04-21 20:49:05
