[INFO] program started, time: 2021-04-21 20:28:06
[DEBUG] placed coal ore in x:3 y:2, time:2021-04-21 20:28:07
[DEBUG] placed coal ore in x:7 y:4, time:2021-04-21 20:28:07
[DEBUG] placed iron ore in x:4 y:12, time:2021-04-21 20:28:07
[DEBUG] placed copper ore in x:9 y:8, time:2021-04-21 20:28:07
[DEBUG] placed tin ore in x:19 y:11, time:2021-04-21 20:28:07
[DEBUG] placed zinc ore in x:16 y:15, time:2021-04-21 20:28:07
[DEBUG] placed coal ore in x:15 y:13, time:2021-04-21 20:28:07
[DEBUG] placed coal ore in x:20 y:16, time:2021-04-21 20:28:07
[DEBUG] placed iron ore in x:7 y:1, time:2021-04-21 20:28:07
[DEBUG] placed copper ore in x:20 y:11, time:2021-04-21 20:28:07
[DEBUG] placed tin ore in x:11 y:1, time:2021-04-21 20:28:07
[DEBUG] placed zinc ore in x:4 y:13, time:2021-04-21 20:28:07
