[INFO] program started, time: 2021-04-21 20:54:46
[DEBUG] placed coal ore in x:14 y:12, time:2021-04-21 20:54:47
[DEBUG] placed coal ore in x:3 y:2, time:2021-04-21 20:54:47
[DEBUG] placed iron ore in x:10 y:3, time:2021-04-21 20:54:47
[DEBUG] placed copper ore in x:15 y:17, time:2021-04-21 20:54:47
[DEBUG] placed tin ore in x:14 y:20, time:2021-04-21 20:54:47
[DEBUG] placed zinc ore in x:8 y:6, time:2021-04-21 20:54:47
[DEBUG] placed coal ore in x:5 y:7, time:2021-04-21 20:54:47
[DEBUG] placed coal ore in x:13 y:17, time:2021-04-21 20:54:47
[DEBUG] placed iron ore in x:16 y:12, time:2021-04-21 20:54:47
[DEBUG] placed copper ore in x:0 y:5, time:2021-04-21 20:54:47
[DEBUG] placed tin ore in x:14 y:8, time:2021-04-21 20:54:47
[DEBUG] placed zinc ore in x:2 y:19, time:2021-04-21 20:54:47
