[INFO] program started, time: 2021-04-21 21:03:16
[DEBUG] placed coal ore in x:10 y:8, time:2021-04-21 21:03:17
[DEBUG] placed coal ore in x:15 y:2, time:2021-04-21 21:03:17
[DEBUG] placed iron ore in x:8 y:4, time:2021-04-21 21:03:17
[DEBUG] placed copper ore in x:18 y:18, time:2021-04-21 21:03:17
[DEBUG] placed tin ore in x:5 y:16, time:2021-04-21 21:03:17
[DEBUG] placed zinc ore in x:4 y:6, time:2021-04-21 21:03:17
[DEBUG] placed coal ore in x:12 y:16, time:2021-04-21 21:03:17
[DEBUG] placed coal ore in x:7 y:16, time:2021-04-21 21:03:17
[DEBUG] placed iron ore in x:17 y:2, time:2021-04-21 21:03:17
[DEBUG] placed copper ore in x:12 y:6, time:2021-04-21 21:03:17
[DEBUG] placed tin ore in x:16 y:16, time:2021-04-21 21:03:17
[DEBUG] placed zinc ore in x:11 y:10, time:2021-04-21 21:03:17
