[INFO] program started, time: 2021-04-21 20:47:52
[DEBUG] placed coal ore in x:19 y:8, time:2021-04-21 20:47:53
[DEBUG] placed coal ore in x:12 y:11, time:2021-04-21 20:47:53
[DEBUG] placed iron ore in x:11 y:15, time:2021-04-21 20:47:53
[DEBUG] placed copper ore in x:14 y:5, time:2021-04-21 20:47:53
[DEBUG] placed tin ore in x:6 y:3, time:2021-04-21 20:47:53
[DEBUG] placed zinc ore in x:8 y:19, time:2021-04-21 20:47:53
[DEBUG] placed coal ore in x:7 y:10, time:2021-04-21 20:47:53
[DEBUG] placed coal ore in x:16 y:18, time:2021-04-21 20:47:53
[DEBUG] placed iron ore in x:7 y:4, time:2021-04-21 20:47:53
[DEBUG] placed copper ore in x:12 y:10, time:2021-04-21 20:47:53
[DEBUG] placed tin ore in x:11 y:12, time:2021-04-21 20:47:53
[DEBUG] placed zinc ore in x:7 y:17, time:2021-04-21 20:47:53
