[INFO] program started, time: 2021-04-21 21:06:23
[DEBUG] placed coal ore in x:3 y:8, time:2021-04-21 21:06:24
[DEBUG] placed coal ore in x:2 y:14, time:2021-04-21 21:06:24
[DEBUG] placed iron ore in x:18 y:17, time:2021-04-21 21:06:24
[DEBUG] placed copper ore in x:4 y:7, time:2021-04-21 21:06:24
[DEBUG] placed tin ore in x:8 y:0, time:2021-04-21 21:06:24
[DEBUG] placed zinc ore in x:20 y:12, time:2021-04-21 21:06:24
[DEBUG] placed coal ore in x:16 y:9, time:2021-04-21 21:06:24
[DEBUG] placed coal ore in x:4 y:15, time:2021-04-21 21:06:24
[DEBUG] placed iron ore in x:15 y:15, time:2021-04-21 21:06:24
[DEBUG] placed copper ore in x:11 y:16, time:2021-04-21 21:06:24
[DEBUG] placed tin ore in x:5 y:13, time:2021-04-21 21:06:24
[DEBUG] placed zinc ore in x:16 y:20, time:2021-04-21 21:06:24
