[INFO] program started, time: 2021-04-21 20:33:22
[DEBUG] placed coal ore in x:6 y:10, time:2021-04-21 20:33:22
[DEBUG] placed coal ore in x:18 y:9, time:2021-04-21 20:33:22
[DEBUG] placed iron ore in x:5 y:18, time:2021-04-21 20:33:22
[DEBUG] placed copper ore in x:14 y:16, time:2021-04-21 20:33:22
[DEBUG] placed tin ore in x:18 y:6, time:2021-04-21 20:33:22
[DEBUG] placed zinc ore in x:2 y:19, time:2021-04-21 20:33:22
[DEBUG] placed coal ore in x:3 y:2, time:2021-04-21 20:33:22
[DEBUG] placed coal ore in x:7 y:12, time:2021-04-21 20:33:22
[DEBUG] placed iron ore in x:7 y:19, time:2021-04-21 20:33:22
[DEBUG] placed copper ore in x:11 y:13, time:2021-04-21 20:33:22
[DEBUG] placed tin ore in x:18 y:19, time:2021-04-21 20:33:22
[DEBUG] placed zinc ore in x:12 y:8, time:2021-04-21 20:33:22
