[INFO] program started, time: 2021-04-21 20:59:16
[DEBUG] placed coal ore in x:18 y:8, time:2021-04-21 20:59:17
[DEBUG] placed coal ore in x:14 y:20, time:2021-04-21 20:59:17
[DEBUG] placed iron ore in x:9 y:4, time:2021-04-21 20:59:17
[DEBUG] placed copper ore in x:14 y:13, time:2021-04-21 20:59:17
[DEBUG] placed tin ore in x:20 y:9, time:2021-04-21 20:59:17
[DEBUG] placed zinc ore in x:13 y:11, time:2021-04-21 20:59:17
[DEBUG] placed coal ore in x:8 y:16, time:2021-04-21 20:59:17
[DEBUG] placed coal ore in x:15 y:17, time:2021-04-21 20:59:17
[DEBUG] placed iron ore in x:9 y:12, time:2021-04-21 20:59:17
[DEBUG] placed copper ore in x:9 y:5, time:2021-04-21 20:59:17
[DEBUG] placed tin ore in x:1 y:10, time:2021-04-21 20:59:17
[DEBUG] placed zinc ore in x:13 y:17, time:2021-04-21 20:59:17
