[INFO] program started, time: 2021-04-21 20:43:44
[DEBUG] placed coal ore in x:17 y:9, time:2021-04-21 20:43:45
[DEBUG] placed coal ore in x:12 y:16, time:2021-04-21 20:43:45
[DEBUG] placed iron ore in x:4 y:3, time:2021-04-21 20:43:45
[DEBUG] placed copper ore in x:12 y:4, time:2021-04-21 20:43:45
[DEBUG] placed tin ore in x:5 y:11, time:2021-04-21 20:43:45
[DEBUG] placed zinc ore in x:4 y:11, time:2021-04-21 20:43:45
[DEBUG] placed coal ore in x:8 y:8, time:2021-04-21 20:43:45
[DEBUG] placed coal ore in x:4 y:0, time:2021-04-21 20:43:45
[DEBUG] placed iron ore in x:13 y:10, time:2021-04-21 20:43:45
[DEBUG] placed copper ore in x:11 y:13, time:2021-04-21 20:43:45
[DEBUG] placed tin ore in x:5 y:16, time:2021-04-21 20:43:45
[DEBUG] placed zinc ore in x:19 y:13, time:2021-04-21 20:43:45
