[INFO] program started, time: 2021-04-21 20:48:31
[DEBUG] placed coal ore in x:9 y:5, time:2021-04-21 20:48:32
[DEBUG] placed coal ore in x:6 y:5, time:2021-04-21 20:48:32
[DEBUG] placed iron ore in x:3 y:18, time:2021-04-21 20:48:32
[DEBUG] placed copper ore in x:11 y:11, time:2021-04-21 20:48:32
[DEBUG] placed tin ore in x:5 y:0, time:2021-04-21 20:48:32
[DEBUG] placed zinc ore in x:6 y:3, time:2021-04-21 20:48:32
[DEBUG] placed coal ore in x:8 y:17, time:2021-04-21 20:48:32
[DEBUG] placed coal ore in x:14 y:10, time:2021-04-21 20:48:32
[DEBUG] placed iron ore in x:12 y:14, time:2021-04-21 20:48:32
[DEBUG] placed copper ore in x:7 y:2, time:2021-04-21 20:48:32
[DEBUG] placed tin ore in x:14 y:3, time:2021-04-21 20:48:32
[DEBUG] placed zinc ore in x:16 y:12, time:2021-04-21 20:48:32
