[INFO] program started, time: 2021-04-21 20:46:31
[DEBUG] placed coal ore in x:7 y:19, time:2021-04-21 20:46:32
[DEBUG] placed coal ore in x:13 y:15, time:2021-04-21 20:46:32
[DEBUG] placed iron ore in x:18 y:9, time:2021-04-21 20:46:32
[DEBUG] placed copper ore in x:10 y:3, time:2021-04-21 20:46:32
[DEBUG] placed tin ore in x:14 y:0, time:2021-04-21 20:46:32
[DEBUG] placed zinc ore in x:20 y:7, time:2021-04-21 20:46:32
[DEBUG] placed coal ore in x:1 y:13, time:2021-04-21 20:46:32
[DEBUG] placed coal ore in x:4 y:4, time:2021-04-21 20:46:32
[DEBUG] placed iron ore in x:7 y:19, time:2021-04-21 20:46:32
[DEBUG] placed copper ore in x:5 y:6, time:2021-04-21 20:46:32
[DEBUG] placed tin ore in x:14 y:10, time:2021-04-21 20:46:32
[DEBUG] placed zinc ore in x:8 y:19, time:2021-04-21 20:46:32
