[INFO] program started, time: 2021-04-21 20:26:26
[DEBUG] placed coal ore in x:18 y:5, time:2021-04-21 20:26:27
[DEBUG] placed coal ore in x:5 y:20, time:2021-04-21 20:26:27
[DEBUG] placed iron ore in x:9 y:0, time:2021-04-21 20:26:27
[DEBUG] placed copper ore in x:5 y:11, time:2021-04-21 20:26:27
[DEBUG] placed tin ore in x:3 y:6, time:2021-04-21 20:26:27
[DEBUG] placed zinc ore in x:9 y:7, time:2021-04-21 20:26:27
[DEBUG] placed coal ore in x:16 y:9, time:2021-04-21 20:26:27
[DEBUG] placed coal ore in x:10 y:10, time:2021-04-21 20:26:27
[DEBUG] placed iron ore in x:1 y:4, time:2021-04-21 20:26:27
[DEBUG] placed copper ore in x:0 y:5, time:2021-04-21 20:26:27
[DEBUG] placed tin ore in x:2 y:15, time:2021-04-21 20:26:27
[DEBUG] placed zinc ore in x:10 y:5, time:2021-04-21 20:26:27
