[INFO] program started, time: 2021-04-21 20:28:45
[DEBUG] placed coal ore in x:12 y:10, time:2021-04-21 20:28:46
[DEBUG] placed coal ore in x:6 y:11, time:2021-04-21 20:28:46
[DEBUG] placed iron ore in x:18 y:19, time:2021-04-21 20:28:46
[DEBUG] placed copper ore in x:9 y:9, time:2021-04-21 20:28:46
[DEBUG] placed tin ore in x:6 y:9, time:2021-04-21 20:28:46
[DEBUG] placed zinc ore in x:16 y:16, time:2021-04-21 20:28:46
[DEBUG] placed coal ore in x:9 y:10, time:2021-04-21 20:28:46
[DEBUG] placed coal ore in x:4 y:4, time:2021-04-21 20:28:46
[DEBUG] placed iron ore in x:7 y:0, time:2021-04-21 20:28:46
[DEBUG] placed copper ore in x:18 y:6, time:2021-04-21 20:28:46
[DEBUG] placed tin ore in x:5 y:19, time:2021-04-21 20:28:46
[DEBUG] placed zinc ore in x:12 y:4, time:2021-04-21 20:28:46
