[INFO] program started, time: 2021-04-21 20:52:53
[DEBUG] placed coal ore in x:5 y:15, time:2021-04-21 20:52:53
[DEBUG] placed coal ore in x:6 y:17, time:2021-04-21 20:52:53
[DEBUG] placed iron ore in x:6 y:11, time:2021-04-21 20:52:53
[DEBUG] placed copper ore in x:17 y:16, time:2021-04-21 20:52:53
[DEBUG] placed tin ore in x:2 y:13, time:2021-04-21 20:52:53
[DEBUG] placed zinc ore in x:17 y:5, time:2021-04-21 20:52:53
[DEBUG] placed coal ore in x:20 y:14, time:2021-04-21 20:52:53
[DEBUG] placed coal ore in x:6 y:18, time:2021-04-21 20:52:53
[DEBUG] placed iron ore in x:20 y:12, time:2021-04-21 20:52:53
[DEBUG] placed copper ore in x:5 y:14, time:2021-04-21 20:52:53
[DEBUG] placed tin ore in x:4 y:1, time:2021-04-21 20:52:53
[DEBUG] placed zinc ore in x:3 y:20, time:2021-04-21 20:52:53
