[INFO] program started, time: 2021-04-21 22:05:58
[DEBUG] placed coal ore in x:2 y:19, time:2021-04-21 22:05:59
[DEBUG] placed coal ore in x:12 y:16, time:2021-04-21 22:05:59
[DEBUG] placed iron ore in x:1 y:19, time:2021-04-21 22:05:59
[DEBUG] placed copper ore in x:9 y:16, time:2021-04-21 22:05:59
[DEBUG] placed tin ore in x:13 y:8, time:2021-04-21 22:05:59
[DEBUG] placed zinc ore in x:0 y:3, time:2021-04-21 22:05:59
[DEBUG] placed coal ore in x:11 y:20, time:2021-04-21 22:05:59
[DEBUG] placed coal ore in x:13 y:2, time:2021-04-21 22:05:59
[DEBUG] placed iron ore in x:16 y:20, time:2021-04-21 22:05:59
[DEBUG] placed copper ore in x:2 y:3, time:2021-04-21 22:05:59
[DEBUG] placed tin ore in x:4 y:2, time:2021-04-21 22:05:59
[DEBUG] placed zinc ore in x:16 y:9, time:2021-04-21 22:05:59
