[INFO] program started, time: 2021-04-21 20:50:37
[DEBUG] placed coal ore in x:2 y:5, time:2021-04-21 20:50:38
[DEBUG] placed coal ore in x:6 y:6, time:2021-04-21 20:50:38
[DEBUG] placed iron ore in x:0 y:5, time:2021-04-21 20:50:38
[DEBUG] placed copper ore in x:16 y:4, time:2021-04-21 20:50:38
[DEBUG] placed tin ore in x:11 y:7, time:2021-04-21 20:50:38
[DEBUG] placed zinc ore in x:12 y:10, time:2021-04-21 20:50:38
[DEBUG] placed coal ore in x:6 y:4, time:2021-04-21 20:50:38
[DEBUG] placed coal ore in x:4 y:18, time:2021-04-21 20:50:38
[DEBUG] placed iron ore in x:13 y:1, time:2021-04-21 20:50:38
[DEBUG] placed copper ore in x:10 y:11, time:2021-04-21 20:50:38
[DEBUG] placed tin ore in x:9 y:6, time:2021-04-21 20:50:38
[DEBUG] placed zinc ore in x:14 y:6, time:2021-04-21 20:50:38
