[INFO] program started, time: 2021-04-21 19:56:06
[DEBUG] placed coal ore in x:16 y:12, time:2021-04-21 19:56:07
[DEBUG] placed coal ore in x:10 y:14, time:2021-04-21 19:56:07
[DEBUG] placed iron ore in x:9 y:16, time:2021-04-21 19:56:07
[DEBUG] placed copper ore in x:0 y:15, time:2021-04-21 19:56:07
[DEBUG] placed tin ore in x:3 y:7, time:2021-04-21 19:56:07
[DEBUG] placed zinc ore in x:5 y:0, time:2021-04-21 19:56:07
[DEBUG] placed coal ore in x:13 y:13, time:2021-04-21 19:56:07
[DEBUG] placed coal ore in x:10 y:8, time:2021-04-21 19:56:07
[DEBUG] placed iron ore in x:18 y:13, time:2021-04-21 19:56:07
[DEBUG] placed copper ore in x:4 y:5, time:2021-04-21 19:56:07
[DEBUG] placed tin ore in x:20 y:5, time:2021-04-21 19:56:07
[DEBUG] placed zinc ore in x:0 y:1, time:2021-04-21 19:56:07
