[INFO] program started, time: 2021-04-21 20:48:52
[DEBUG] placed coal ore in x:4 y:20, time:2021-04-21 20:48:52
[DEBUG] placed coal ore in x:7 y:18, time:2021-04-21 20:48:52
[DEBUG] placed iron ore in x:9 y:11, time:2021-04-21 20:48:52
[DEBUG] placed copper ore in x:16 y:20, time:2021-04-21 20:48:52
[DEBUG] placed tin ore in x:19 y:15, time:2021-04-21 20:48:52
[DEBUG] placed zinc ore in x:2 y:17, time:2021-04-21 20:48:52
[DEBUG] placed coal ore in x:20 y:18, time:2021-04-21 20:48:52
[DEBUG] placed coal ore in x:1 y:5, time:2021-04-21 20:48:52
[DEBUG] placed iron ore in x:6 y:15, time:2021-04-21 20:48:52
[DEBUG] placed copper ore in x:18 y:5, time:2021-04-21 20:48:52
[DEBUG] placed tin ore in x:0 y:16, time:2021-04-21 20:48:52
[DEBUG] placed zinc ore in x:5 y:19, time:2021-04-21 20:48:52
