[INFO] program started, time: 2021-04-21 20:01:34
[DEBUG] placed coal ore in x:5 y:5, time:2021-04-21 20:01:34
[DEBUG] placed coal ore in x:15 y:3, time:2021-04-21 20:01:34
[DEBUG] placed iron ore in x:18 y:3, time:2021-04-21 20:01:34
[DEBUG] placed copper ore in x:6 y:10, time:2021-04-21 20:01:34
[DEBUG] placed tin ore in x:12 y:6, time:2021-04-21 20:01:34
[DEBUG] placed zinc ore in x:16 y:18, time:2021-04-21 20:01:34
[DEBUG] placed coal ore in x:12 y:15, time:2021-04-21 20:01:34
[DEBUG] placed coal ore in x:6 y:6, time:2021-04-21 20:01:34
[DEBUG] placed iron ore in x:3 y:11, time:2021-04-21 20:01:34
[DEBUG] placed copper ore in x:5 y:14, time:2021-04-21 20:01:34
[DEBUG] placed tin ore in x:2 y:0, time:2021-04-21 20:01:34
[DEBUG] placed zinc ore in x:3 y:5, time:2021-04-21 20:01:34
