[INFO] program started, time: 2021-04-21 20:25:26
[DEBUG] placed coal ore in x:6 y:6, time:2021-04-21 20:25:27
[DEBUG] placed coal ore in x:16 y:10, time:2021-04-21 20:25:27
[DEBUG] placed iron ore in x:9 y:20, time:2021-04-21 20:25:27
[DEBUG] placed copper ore in x:18 y:17, time:2021-04-21 20:25:27
[DEBUG] placed tin ore in x:20 y:5, time:2021-04-21 20:25:27
[DEBUG] placed zinc ore in x:20 y:1, time:2021-04-21 20:25:27
[DEBUG] placed coal ore in x:15 y:15, time:2021-04-21 20:25:27
[DEBUG] placed coal ore in x:19 y:2, time:2021-04-21 20:25:27
[DEBUG] placed iron ore in x:12 y:10, time:2021-04-21 20:25:27
[DEBUG] placed copper ore in x:11 y:2, time:2021-04-21 20:25:27
[DEBUG] placed tin ore in x:4 y:6, time:2021-04-21 20:25:27
[DEBUG] placed zinc ore in x:9 y:5, time:2021-04-21 20:25:27
