[INFO] program started, time: 2021-04-21 22:21:14
[DEBUG] placed coal ore in x:11 y:1, time:2021-04-21 22:21:15
[DEBUG] placed coal ore in x:20 y:5, time:2021-04-21 22:21:15
[DEBUG] placed iron ore in x:12 y:0, time:2021-04-21 22:21:15
[DEBUG] placed copper ore in x:4 y:6, time:2021-04-21 22:21:15
[DEBUG] placed tin ore in x:10 y:11, time:2021-04-21 22:21:15
[DEBUG] placed zinc ore in x:18 y:10, time:2021-04-21 22:21:15
[DEBUG] placed coal ore in x:13 y:16, time:2021-04-21 22:21:15
[DEBUG] placed coal ore in x:1 y:0, time:2021-04-21 22:21:15
[DEBUG] placed iron ore in x:6 y:19, time:2021-04-21 22:21:15
[DEBUG] placed copper ore in x:11 y:0, time:2021-04-21 22:21:15
[DEBUG] placed tin ore in x:15 y:4, time:2021-04-21 22:21:15
[DEBUG] placed zinc ore in x:7 y:17, time:2021-04-21 22:21:15
