[INFO] program started, time: 2021-04-21 20:25:58
[DEBUG] placed coal ore in x:15 y:0, time:2021-04-21 20:25:58
[DEBUG] placed coal ore in x:15 y:1, time:2021-04-21 20:25:58
[DEBUG] placed iron ore in x:3 y:13, time:2021-04-21 20:25:58
[DEBUG] placed copper ore in x:14 y:9, time:2021-04-21 20:25:58
[DEBUG] placed tin ore in x:5 y:17, time:2021-04-21 20:25:58
[DEBUG] placed zinc ore in x:11 y:11, time:2021-04-21 20:25:58
[DEBUG] placed coal ore in x:11 y:3, time:2021-04-21 20:25:58
[DEBUG] placed coal ore in x:16 y:14, time:2021-04-21 20:25:58
[DEBUG] placed iron ore in x:5 y:1, time:2021-04-21 20:25:58
[DEBUG] placed copper ore in x:15 y:5, time:2021-04-21 20:25:58
[DEBUG] placed tin ore in x:0 y:15, time:2021-04-21 20:25:58
[DEBUG] placed zinc ore in x:14 y:0, time:2021-04-21 20:25:58
