[INFO] program started, time: 2021-04-21 21:01:57
[DEBUG] placed coal ore in x:13 y:4, time:2021-04-21 21:01:59
[DEBUG] placed coal ore in x:2 y:11, time:2021-04-21 21:01:59
[DEBUG] placed iron ore in x:2 y:18, time:2021-04-21 21:01:59
[DEBUG] placed copper ore in x:9 y:18, time:2021-04-21 21:01:59
[DEBUG] placed tin ore in x:17 y:11, time:2021-04-21 21:01:59
[DEBUG] placed zinc ore in x:3 y:4, time:2021-04-21 21:01:59
[DEBUG] placed coal ore in x:8 y:9, time:2021-04-21 21:01:59
[DEBUG] placed coal ore in x:8 y:10, time:2021-04-21 21:01:59
[DEBUG] placed iron ore in x:17 y:1, time:2021-04-21 21:01:59
[DEBUG] placed copper ore in x:1 y:8, time:2021-04-21 21:01:59
[DEBUG] placed tin ore in x:2 y:14, time:2021-04-21 21:01:59
[DEBUG] placed zinc ore in x:4 y:15, time:2021-04-21 21:01:59
