[INFO] program started, time: 2021-04-21 20:46:56
[DEBUG] placed coal ore in x:5 y:12, time:2021-04-21 20:46:57
[DEBUG] placed coal ore in x:0 y:2, time:2021-04-21 20:46:57
[DEBUG] placed iron ore in x:12 y:12, time:2021-04-21 20:46:57
[DEBUG] placed copper ore in x:18 y:12, time:2021-04-21 20:46:57
[DEBUG] placed tin ore in x:9 y:15, time:2021-04-21 20:46:57
[DEBUG] placed zinc ore in x:12 y:15, time:2021-04-21 20:46:57
[DEBUG] placed coal ore in x:20 y:18, time:2021-04-21 20:46:57
[DEBUG] placed coal ore in x:13 y:16, time:2021-04-21 20:46:57
[DEBUG] placed iron ore in x:5 y:6, time:2021-04-21 20:46:57
[DEBUG] placed copper ore in x:7 y:1, time:2021-04-21 20:46:57
[DEBUG] placed tin ore in x:0 y:1, time:2021-04-21 20:46:57
[DEBUG] placed zinc ore in x:9 y:15, time:2021-04-21 20:46:57
