[INFO] program started, time: 2021-04-21 22:23:06
[DEBUG] placed coal ore in x:3 y:0, time:2021-04-21 22:23:07
[DEBUG] placed coal ore in x:20 y:16, time:2021-04-21 22:23:07
[DEBUG] placed iron ore in x:7 y:8, time:2021-04-21 22:23:07
[DEBUG] placed copper ore in x:17 y:16, time:2021-04-21 22:23:07
[DEBUG] placed tin ore in x:1 y:5, time:2021-04-21 22:23:07
[DEBUG] placed zinc ore in x:20 y:13, time:2021-04-21 22:23:07
[DEBUG] placed coal ore in x:7 y:16, time:2021-04-21 22:23:07
[DEBUG] placed coal ore in x:16 y:11, time:2021-04-21 22:23:07
[DEBUG] placed iron ore in x:6 y:16, time:2021-04-21 22:23:07
[DEBUG] placed copper ore in x:18 y:20, time:2021-04-21 22:23:07
[DEBUG] placed tin ore in x:4 y:16, time:2021-04-21 22:23:07
[DEBUG] placed zinc ore in x:4 y:0, time:2021-04-21 22:23:07
