[INFO] program started, time: 2021-04-21 22:21:58
[DEBUG] placed coal ore in x:20 y:16, time:2021-04-21 22:21:59
[DEBUG] placed coal ore in x:17 y:12, time:2021-04-21 22:21:59
[DEBUG] placed iron ore in x:12 y:2, time:2021-04-21 22:21:59
[DEBUG] placed copper ore in x:6 y:15, time:2021-04-21 22:21:59
[DEBUG] placed tin ore in x:12 y:6, time:2021-04-21 22:21:59
[DEBUG] placed zinc ore in x:4 y:4, time:2021-04-21 22:21:59
[DEBUG] placed coal ore in x:17 y:15, time:2021-04-21 22:21:59
[DEBUG] placed coal ore in x:20 y:8, time:2021-04-21 22:21:59
[DEBUG] placed iron ore in x:16 y:9, time:2021-04-21 22:21:59
[DEBUG] placed copper ore in x:12 y:8, time:2021-04-21 22:21:59
[DEBUG] placed tin ore in x:2 y:18, time:2021-04-21 22:21:59
[DEBUG] placed zinc ore in x:16 y:3, time:2021-04-21 22:21:59
