[INFO] program started, time: 2021-04-21 20:29:47
[DEBUG] placed coal ore in x:0 y:4, time:2021-04-21 20:29:47
[DEBUG] placed coal ore in x:20 y:14, time:2021-04-21 20:29:47
[DEBUG] placed iron ore in x:2 y:3, time:2021-04-21 20:29:47
[DEBUG] placed copper ore in x:18 y:11, time:2021-04-21 20:29:47
[DEBUG] placed tin ore in x:20 y:9, time:2021-04-21 20:29:47
[DEBUG] placed zinc ore in x:18 y:8, time:2021-04-21 20:29:47
[DEBUG] placed coal ore in x:3 y:0, time:2021-04-21 20:29:47
[DEBUG] placed coal ore in x:19 y:10, time:2021-04-21 20:29:47
[DEBUG] placed iron ore in x:1 y:7, time:2021-04-21 20:29:47
[DEBUG] placed copper ore in x:17 y:15, time:2021-04-21 20:29:47
[DEBUG] placed tin ore in x:0 y:19, time:2021-04-21 20:29:47
[DEBUG] placed zinc ore in x:8 y:14, time:2021-04-21 20:29:47
