[INFO] program started, time: 2021-04-21 20:30:11
[DEBUG] placed coal ore in x:18 y:6, time:2021-04-21 20:30:12
[DEBUG] placed coal ore in x:2 y:3, time:2021-04-21 20:30:12
[DEBUG] placed iron ore in x:0 y:8, time:2021-04-21 20:30:12
[DEBUG] placed copper ore in x:7 y:9, time:2021-04-21 20:30:12
[DEBUG] placed tin ore in x:9 y:16, time:2021-04-21 20:30:12
[DEBUG] placed zinc ore in x:8 y:15, time:2021-04-21 20:30:12
[DEBUG] placed coal ore in x:6 y:17, time:2021-04-21 20:30:12
[DEBUG] placed coal ore in x:4 y:16, time:2021-04-21 20:30:12
[DEBUG] placed iron ore in x:11 y:12, time:2021-04-21 20:30:12
[DEBUG] placed copper ore in x:17 y:1, time:2021-04-21 20:30:12
[DEBUG] placed tin ore in x:4 y:3, time:2021-04-21 20:30:12
[DEBUG] placed zinc ore in x:17 y:18, time:2021-04-21 20:30:12
