[INFO] program started, time: 2021-04-21 20:49:30
[DEBUG] placed coal ore in x:11 y:14, time:2021-04-21 20:49:31
[DEBUG] placed coal ore in x:17 y:11, time:2021-04-21 20:49:31
[DEBUG] placed iron ore in x:13 y:7, time:2021-04-21 20:49:31
[DEBUG] placed copper ore in x:14 y:12, time:2021-04-21 20:49:31
[DEBUG] placed tin ore in x:10 y:4, time:2021-04-21 20:49:31
[DEBUG] placed zinc ore in x:3 y:0, time:2021-04-21 20:49:31
[DEBUG] placed coal ore in x:20 y:2, time:2021-04-21 20:49:31
[DEBUG] placed coal ore in x:0 y:1, time:2021-04-21 20:49:31
[DEBUG] placed iron ore in x:20 y:7, time:2021-04-21 20:49:31
[DEBUG] placed copper ore in x:7 y:18, time:2021-04-21 20:49:31
[DEBUG] placed tin ore in x:2 y:20, time:2021-04-21 20:49:31
[DEBUG] placed zinc ore in x:1 y:1, time:2021-04-21 20:49:31
