[INFO] program started, time: 2021-04-21 20:32:30
[DEBUG] placed coal ore in x:10 y:14, time:2021-04-21 20:32:30
[DEBUG] placed coal ore in x:8 y:5, time:2021-04-21 20:32:30
[DEBUG] placed iron ore in x:17 y:19, time:2021-04-21 20:32:30
[DEBUG] placed copper ore in x:1 y:5, time:2021-04-21 20:32:30
[DEBUG] placed tin ore in x:20 y:16, time:2021-04-21 20:32:30
[DEBUG] placed zinc ore in x:1 y:6, time:2021-04-21 20:32:30
[DEBUG] placed coal ore in x:14 y:6, time:2021-04-21 20:32:30
[DEBUG] placed coal ore in x:11 y:1, time:2021-04-21 20:32:30
[DEBUG] placed iron ore in x:18 y:18, time:2021-04-21 20:32:30
[DEBUG] placed copper ore in x:7 y:1, time:2021-04-21 20:32:30
[DEBUG] placed tin ore in x:17 y:14, time:2021-04-21 20:32:30
[DEBUG] placed zinc ore in x:4 y:20, time:2021-04-21 20:32:30
