[INFO] program started, time: 2021-04-21 20:46:01
[DEBUG] placed coal ore in x:7 y:15, time:2021-04-21 20:46:02
[DEBUG] placed coal ore in x:18 y:3, time:2021-04-21 20:46:02
[DEBUG] placed iron ore in x:10 y:19, time:2021-04-21 20:46:02
[DEBUG] placed copper ore in x:13 y:15, time:2021-04-21 20:46:02
[DEBUG] placed tin ore in x:11 y:16, time:2021-04-21 20:46:02
[DEBUG] placed zinc ore in x:16 y:10, time:2021-04-21 20:46:02
[DEBUG] placed coal ore in x:13 y:7, time:2021-04-21 20:46:02
[DEBUG] placed coal ore in x:7 y:11, time:2021-04-21 20:46:02
[DEBUG] placed iron ore in x:18 y:19, time:2021-04-21 20:46:02
[DEBUG] placed copper ore in x:3 y:7, time:2021-04-21 20:46:02
[DEBUG] placed tin ore in x:18 y:17, time:2021-04-21 20:46:02
[DEBUG] placed zinc ore in x:17 y:1, time:2021-04-21 20:46:02
