[INFO] program started, time: 2021-04-21 21:06:47
[DEBUG] placed coal ore in x:11 y:18, time:2021-04-21 21:06:48
[DEBUG] placed coal ore in x:0 y:16, time:2021-04-21 21:06:48
[DEBUG] placed iron ore in x:19 y:20, time:2021-04-21 21:06:48
[DEBUG] placed copper ore in x:13 y:17, time:2021-04-21 21:06:48
[DEBUG] placed tin ore in x:17 y:16, time:2021-04-21 21:06:48
[DEBUG] placed zinc ore in x:3 y:10, time:2021-04-21 21:06:48
[DEBUG] placed coal ore in x:18 y:2, time:2021-04-21 21:06:48
[DEBUG] placed coal ore in x:6 y:17, time:2021-04-21 21:06:48
[DEBUG] placed iron ore in x:11 y:13, time:2021-04-21 21:06:48
[DEBUG] placed copper ore in x:11 y:5, time:2021-04-21 21:06:48
[DEBUG] placed tin ore in x:19 y:14, time:2021-04-21 21:06:48
[DEBUG] placed zinc ore in x:16 y:8, time:2021-04-21 21:06:48
