[INFO] program started, time: 2021-04-21 21:00:23
[DEBUG] placed coal ore in x:16 y:15, time:2021-04-21 21:00:23
[DEBUG] placed coal ore in x:20 y:15, time:2021-04-21 21:00:23
[DEBUG] placed iron ore in x:14 y:2, time:2021-04-21 21:00:23
[DEBUG] placed copper ore in x:16 y:9, time:2021-04-21 21:00:23
[DEBUG] placed tin ore in x:5 y:13, time:2021-04-21 21:00:23
[DEBUG] placed zinc ore in x:19 y:4, time:2021-04-21 21:00:23
[DEBUG] placed coal ore in x:4 y:3, time:2021-04-21 21:00:23
[DEBUG] placed coal ore in x:8 y:9, time:2021-04-21 21:00:23
[DEBUG] placed iron ore in x:10 y:14, time:2021-04-21 21:00:23
[DEBUG] placed copper ore in x:6 y:1, time:2021-04-21 21:00:23
[DEBUG] placed tin ore in x:13 y:16, time:2021-04-21 21:00:23
[DEBUG] placed zinc ore in x:7 y:7, time:2021-04-21 21:00:23
