[INFO] program started, time: 2021-04-21 20:59:31
[DEBUG] placed coal ore in x:4 y:2, time:2021-04-21 20:59:32
[DEBUG] placed coal ore in x:16 y:12, time:2021-04-21 20:59:32
[DEBUG] placed iron ore in x:12 y:19, time:2021-04-21 20:59:32
[DEBUG] placed copper ore in x:16 y:20, time:2021-04-21 20:59:32
[DEBUG] placed tin ore in x:11 y:15, time:2021-04-21 20:59:32
[DEBUG] placed zinc ore in x:6 y:4, time:2021-04-21 20:59:32
[DEBUG] placed coal ore in x:10 y:8, time:2021-04-21 20:59:32
[DEBUG] placed coal ore in x:11 y:17, time:2021-04-21 20:59:32
[DEBUG] placed iron ore in x:14 y:5, time:2021-04-21 20:59:32
[DEBUG] placed copper ore in x:4 y:7, time:2021-04-21 20:59:32
[DEBUG] placed tin ore in x:6 y:18, time:2021-04-21 20:59:32
[DEBUG] placed zinc ore in x:20 y:17, time:2021-04-21 20:59:32
