[INFO] program started, time: 2021-04-21 20:25:45
[DEBUG] placed coal ore in x:19 y:14, time:2021-04-21 20:25:46
[DEBUG] placed coal ore in x:12 y:12, time:2021-04-21 20:25:46
[DEBUG] placed iron ore in x:1 y:18, time:2021-04-21 20:25:46
[DEBUG] placed copper ore in x:11 y:0, time:2021-04-21 20:25:46
[DEBUG] placed tin ore in x:17 y:16, time:2021-04-21 20:25:46
[DEBUG] placed zinc ore in x:1 y:11, time:2021-04-21 20:25:46
[DEBUG] placed coal ore in x:20 y:6, time:2021-04-21 20:25:46
[DEBUG] placed coal ore in x:10 y:16, time:2021-04-21 20:25:46
[DEBUG] placed iron ore in x:10 y:0, time:2021-04-21 20:25:46
[DEBUG] placed copper ore in x:20 y:12, time:2021-04-21 20:25:46
[DEBUG] placed tin ore in x:1 y:19, time:2021-04-21 20:25:46
[DEBUG] placed zinc ore in x:14 y:15, time:2021-04-21 20:25:46
