[INFO] program started, time: 2021-04-21 20:27:19
[DEBUG] placed coal ore in x:8 y:9, time:2021-04-21 20:27:20
[DEBUG] placed coal ore in x:13 y:12, time:2021-04-21 20:27:20
[DEBUG] placed iron ore in x:20 y:3, time:2021-04-21 20:27:20
[DEBUG] placed copper ore in x:7 y:13, time:2021-04-21 20:27:20
[DEBUG] placed tin ore in x:7 y:20, time:2021-04-21 20:27:20
[DEBUG] placed zinc ore in x:0 y:18, time:2021-04-21 20:27:20
[DEBUG] placed coal ore in x:2 y:10, time:2021-04-21 20:27:20
[DEBUG] placed coal ore in x:12 y:0, time:2021-04-21 20:27:20
[DEBUG] placed iron ore in x:8 y:14, time:2021-04-21 20:27:20
[DEBUG] placed copper ore in x:2 y:20, time:2021-04-21 20:27:20
[DEBUG] placed tin ore in x:16 y:17, time:2021-04-21 20:27:20
[DEBUG] placed zinc ore in x:3 y:7, time:2021-04-21 20:27:20
