[INFO] program started, time: 2021-04-21 20:50:23
[DEBUG] placed coal ore in x:3 y:4, time:2021-04-21 20:50:23
[DEBUG] placed coal ore in x:20 y:2, time:2021-04-21 20:50:23
[DEBUG] placed iron ore in x:7 y:18, time:2021-04-21 20:50:23
[DEBUG] placed copper ore in x:6 y:11, time:2021-04-21 20:50:23
[DEBUG] placed tin ore in x:10 y:14, time:2021-04-21 20:50:23
[DEBUG] placed zinc ore in x:12 y:19, time:2021-04-21 20:50:23
[DEBUG] placed coal ore in x:6 y:18, time:2021-04-21 20:50:23
[DEBUG] placed coal ore in x:13 y:5, time:2021-04-21 20:50:23
[DEBUG] placed iron ore in x:13 y:19, time:2021-04-21 20:50:23
[DEBUG] placed copper ore in x:18 y:4, time:2021-04-21 20:50:23
[DEBUG] placed tin ore in x:13 y:12, time:2021-04-21 20:50:23
[DEBUG] placed zinc ore in x:8 y:5, time:2021-04-21 20:50:23
