[INFO] program started, time: 2021-04-21 20:43:15
[DEBUG] placed coal ore in x:10 y:12, time:2021-04-21 20:43:16
[DEBUG] placed coal ore in x:7 y:10, time:2021-04-21 20:43:16
[DEBUG] placed iron ore in x:17 y:13, time:2021-04-21 20:43:16
[DEBUG] placed copper ore in x:3 y:9, time:2021-04-21 20:43:16
[DEBUG] placed tin ore in x:19 y:12, time:2021-04-21 20:43:16
[DEBUG] placed zinc ore in x:19 y:6, time:2021-04-21 20:43:16
[DEBUG] placed coal ore in x:0 y:9, time:2021-04-21 20:43:16
[DEBUG] placed coal ore in x:6 y:6, time:2021-04-21 20:43:16
[DEBUG] placed iron ore in x:8 y:11, time:2021-04-21 20:43:16
[DEBUG] placed copper ore in x:3 y:20, time:2021-04-21 20:43:16
[DEBUG] placed tin ore in x:11 y:5, time:2021-04-21 20:43:16
[DEBUG] placed zinc ore in x:7 y:10, time:2021-04-21 20:43:16
