[INFO] program started, time: 2021-04-21 21:03:13
[DEBUG] placed coal ore in x:17 y:9, time:2021-04-21 21:03:14
[DEBUG] placed coal ore in x:20 y:9, time:2021-04-21 21:03:14
[DEBUG] placed iron ore in x:10 y:2, time:2021-04-21 21:03:14
[DEBUG] placed copper ore in x:5 y:10, time:2021-04-21 21:03:14
[DEBUG] placed tin ore in x:6 y:12, time:2021-04-21 21:03:14
[DEBUG] placed zinc ore in x:15 y:0, time:2021-04-21 21:03:14
[DEBUG] placed coal ore in x:2 y:7, time:2021-04-21 21:03:14
[DEBUG] placed coal ore in x:8 y:16, time:2021-04-21 21:03:14
[DEBUG] placed iron ore in x:7 y:8, time:2021-04-21 21:03:14
[DEBUG] placed copper ore in x:12 y:8, time:2021-04-21 21:03:14
[DEBUG] placed tin ore in x:19 y:9, time:2021-04-21 21:03:14
[DEBUG] placed zinc ore in x:3 y:8, time:2021-04-21 21:03:14
