[INFO] program started, time: 2021-04-21 21:00:14
[DEBUG] placed coal ore in x:15 y:14, time:2021-04-21 21:00:14
[DEBUG] placed coal ore in x:14 y:0, time:2021-04-21 21:00:14
[DEBUG] placed iron ore in x:0 y:18, time:2021-04-21 21:00:14
[DEBUG] placed copper ore in x:12 y:18, time:2021-04-21 21:00:14
[DEBUG] placed tin ore in x:12 y:8, time:2021-04-21 21:00:14
[DEBUG] placed zinc ore in x:6 y:19, time:2021-04-21 21:00:14
[DEBUG] placed coal ore in x:2 y:9, time:2021-04-21 21:00:14
[DEBUG] placed coal ore in x:12 y:12, time:2021-04-21 21:00:14
[DEBUG] placed iron ore in x:7 y:0, time:2021-04-21 21:00:14
[DEBUG] placed copper ore in x:12 y:5, time:2021-04-21 21:00:14
[DEBUG] placed tin ore in x:11 y:14, time:2021-04-21 21:00:14
[DEBUG] placed zinc ore in x:6 y:15, time:2021-04-21 21:00:14
