[INFO] program started, time: 2021-04-21 20:59:57
[DEBUG] placed coal ore in x:20 y:10, time:2021-04-21 20:59:58
[DEBUG] placed coal ore in x:18 y:11, time:2021-04-21 20:59:58
[DEBUG] placed iron ore in x:13 y:13, time:2021-04-21 20:59:58
[DEBUG] placed copper ore in x:2 y:11, time:2021-04-21 20:59:58
[DEBUG] placed tin ore in x:9 y:0, time:2021-04-21 20:59:58
[DEBUG] placed zinc ore in x:8 y:15, time:2021-04-21 20:59:58
[DEBUG] placed coal ore in x:9 y:16, time:2021-04-21 20:59:58
[DEBUG] placed coal ore in x:12 y:20, time:2021-04-21 20:59:58
[DEBUG] placed iron ore in x:18 y:8, time:2021-04-21 20:59:58
[DEBUG] placed copper ore in x:6 y:2, time:2021-04-21 20:59:58
[DEBUG] placed tin ore in x:17 y:9, time:2021-04-21 20:59:58
[DEBUG] placed zinc ore in x:17 y:9, time:2021-04-21 20:59:58
