[INFO] program started, time: 2021-04-21 20:45:45
[DEBUG] placed coal ore in x:19 y:19, time:2021-04-21 20:45:46
[DEBUG] placed coal ore in x:20 y:4, time:2021-04-21 20:45:46
[DEBUG] placed iron ore in x:8 y:8, time:2021-04-21 20:45:46
[DEBUG] placed copper ore in x:8 y:19, time:2021-04-21 20:45:46
[DEBUG] placed tin ore in x:2 y:19, time:2021-04-21 20:45:46
[DEBUG] placed zinc ore in x:19 y:10, time:2021-04-21 20:45:46
[DEBUG] placed coal ore in x:4 y:20, time:2021-04-21 20:45:46
[DEBUG] placed coal ore in x:12 y:9, time:2021-04-21 20:45:46
[DEBUG] placed iron ore in x:12 y:20, time:2021-04-21 20:45:46
[DEBUG] placed copper ore in x:4 y:8, time:2021-04-21 20:45:46
[DEBUG] placed tin ore in x:17 y:18, time:2021-04-21 20:45:46
[DEBUG] placed zinc ore in x:6 y:12, time:2021-04-21 20:45:46
