[INFO] program started, time: 2021-04-21 20:51:32
[DEBUG] placed coal ore in x:18 y:14, time:2021-04-21 20:51:33
[DEBUG] placed coal ore in x:4 y:8, time:2021-04-21 20:51:33
[DEBUG] placed iron ore in x:9 y:10, time:2021-04-21 20:51:33
[DEBUG] placed copper ore in x:1 y:17, time:2021-04-21 20:51:33
[DEBUG] placed tin ore in x:0 y:12, time:2021-04-21 20:51:33
[DEBUG] placed zinc ore in x:19 y:3, time:2021-04-21 20:51:33
[DEBUG] placed coal ore in x:13 y:19, time:2021-04-21 20:51:33
[DEBUG] placed coal ore in x:11 y:12, time:2021-04-21 20:51:33
[DEBUG] placed iron ore in x:20 y:11, time:2021-04-21 20:51:33
[DEBUG] placed copper ore in x:13 y:2, time:2021-04-21 20:51:33
[DEBUG] placed tin ore in x:16 y:2, time:2021-04-21 20:51:33
[DEBUG] placed zinc ore in x:4 y:1, time:2021-04-21 20:51:33
