[INFO] program started, time: 2021-04-21 20:02:17
[DEBUG] placed coal ore in x:11 y:10, time:2021-04-21 20:02:18
[DEBUG] placed coal ore in x:14 y:8, time:2021-04-21 20:02:18
[DEBUG] placed iron ore in x:7 y:2, time:2021-04-21 20:02:18
[DEBUG] placed copper ore in x:9 y:4, time:2021-04-21 20:02:18
[DEBUG] placed tin ore in x:1 y:17, time:2021-04-21 20:02:18
[DEBUG] placed zinc ore in x:19 y:16, time:2021-04-21 20:02:18
[DEBUG] placed coal ore in x:2 y:2, time:2021-04-21 20:02:18
[DEBUG] placed coal ore in x:16 y:1, time:2021-04-21 20:02:18
[DEBUG] placed iron ore in x:20 y:10, time:2021-04-21 20:02:18
[DEBUG] placed copper ore in x:18 y:12, time:2021-04-21 20:02:18
[DEBUG] placed tin ore in x:7 y:15, time:2021-04-21 20:02:18
[DEBUG] placed zinc ore in x:0 y:6, time:2021-04-21 20:02:18
