[INFO] program started, time: 2021-04-21 20:30:01
[DEBUG] placed coal ore in x:1 y:13, time:2021-04-21 20:30:02
[DEBUG] placed coal ore in x:19 y:0, time:2021-04-21 20:30:02
[DEBUG] placed iron ore in x:14 y:2, time:2021-04-21 20:30:02
[DEBUG] placed copper ore in x:15 y:16, time:2021-04-21 20:30:02
[DEBUG] placed tin ore in x:15 y:6, time:2021-04-21 20:30:02
[DEBUG] placed zinc ore in x:0 y:11, time:2021-04-21 20:30:02
[DEBUG] placed coal ore in x:13 y:0, time:2021-04-21 20:30:02
[DEBUG] placed coal ore in x:8 y:12, time:2021-04-21 20:30:02
[DEBUG] placed iron ore in x:20 y:0, time:2021-04-21 20:30:02
[DEBUG] placed copper ore in x:20 y:6, time:2021-04-21 20:30:02
[DEBUG] placed tin ore in x:19 y:13, time:2021-04-21 20:30:02
[DEBUG] placed zinc ore in x:15 y:15, time:2021-04-21 20:30:02
