[INFO] program started, time: 2021-04-21 20:32:21
[DEBUG] placed coal ore in x:14 y:17, time:2021-04-21 20:32:22
[DEBUG] placed coal ore in x:7 y:10, time:2021-04-21 20:32:22
[DEBUG] placed iron ore in x:10 y:8, time:2021-04-21 20:32:22
[DEBUG] placed copper ore in x:20 y:15, time:2021-04-21 20:32:22
[DEBUG] placed tin ore in x:19 y:20, time:2021-04-21 20:32:22
[DEBUG] placed zinc ore in x:17 y:13, time:2021-04-21 20:32:22
[DEBUG] placed coal ore in x:20 y:3, time:2021-04-21 20:32:22
[DEBUG] placed coal ore in x:4 y:13, time:2021-04-21 20:32:22
[DEBUG] placed iron ore in x:19 y:17, time:2021-04-21 20:32:22
[DEBUG] placed copper ore in x:10 y:12, time:2021-04-21 20:32:22
[DEBUG] placed tin ore in x:15 y:2, time:2021-04-21 20:32:22
[DEBUG] placed zinc ore in x:5 y:0, time:2021-04-21 20:32:22
