[INFO] program started, time: 2021-04-21 20:51:06
[DEBUG] placed coal ore in x:6 y:5, time:2021-04-21 20:51:07
[DEBUG] placed coal ore in x:15 y:11, time:2021-04-21 20:51:07
[DEBUG] placed iron ore in x:20 y:14, time:2021-04-21 20:51:07
[DEBUG] placed copper ore in x:18 y:16, time:2021-04-21 20:51:07
[DEBUG] placed tin ore in x:15 y:10, time:2021-04-21 20:51:07
[DEBUG] placed zinc ore in x:13 y:3, time:2021-04-21 20:51:07
[DEBUG] placed coal ore in x:4 y:17, time:2021-04-21 20:51:07
[DEBUG] placed coal ore in x:12 y:20, time:2021-04-21 20:51:07
[DEBUG] placed iron ore in x:6 y:4, time:2021-04-21 20:51:07
[DEBUG] placed copper ore in x:20 y:19, time:2021-04-21 20:51:07
[DEBUG] placed tin ore in x:1 y:13, time:2021-04-21 20:51:07
[DEBUG] placed zinc ore in x:15 y:3, time:2021-04-21 20:51:07
