[INFO] program started, time: 2021-04-21 20:28:50
[DEBUG] placed coal ore in x:8 y:18, time:2021-04-21 20:28:50
[DEBUG] placed coal ore in x:6 y:6, time:2021-04-21 20:28:50
[DEBUG] placed iron ore in x:17 y:18, time:2021-04-21 20:28:50
[DEBUG] placed copper ore in x:18 y:4, time:2021-04-21 20:28:50
[DEBUG] placed tin ore in x:11 y:11, time:2021-04-21 20:28:50
[DEBUG] placed zinc ore in x:12 y:19, time:2021-04-21 20:28:50
[DEBUG] placed coal ore in x:11 y:13, time:2021-04-21 20:28:50
[DEBUG] placed coal ore in x:17 y:14, time:2021-04-21 20:28:50
[DEBUG] placed iron ore in x:1 y:14, time:2021-04-21 20:28:50
[DEBUG] placed copper ore in x:20 y:12, time:2021-04-21 20:28:50
[DEBUG] placed tin ore in x:10 y:1, time:2021-04-21 20:28:50
[DEBUG] placed zinc ore in x:15 y:0, time:2021-04-21 20:28:50
